316,Manufacturer,Type,Multi Engine,Lowest Year,Highest Year,Date Range,Year Model Filter,Lowest Age,Highest Age,Min Crew Required,Max Operating Altitude (ft),Balanced Field Length (ft),Aircraft Height (ft),Wingspan (ft),Aircraft Length (ft),Aircraft Volume (cubic ft),Cabin Height (ft),Cabin Width (ft),Cabin Length (ft),Cabin Volume (cubic ft),Baggage Volume (cubic ft),Cabin/Aircraft Volume,Range(NM),Speed(KTS),Passengers,Average Price,Depreciation Rate,Average Trip Time,# of Hours,Passenger Pay,Hourly Charter Rate,Average Charter Trip Time,# of Charter Hours,Yearly Charter Profit,Total Fixed Cost,Total Variable Cost,Adjusted Variable Cost,Annual Budget,Adjusted Annual Budget,Multi-Year Total Cost,MYTC w/ Aircraft Sale,Cost To Charter,Own/Charter Ratio,Own/Charter Savings,Best Speed/$,Normalized Speed/$,Best Seat Speed/$,Best Range/$,Normalized Range/$,Best Seat Range/$,Best Performance/$,Normalized Performance/$,Best Seat Performance/$,Best Efficiency/$,Normalized Effieciency/$,Best Seat Efficiency/$,Best All Around/$,Best Seat All Around/$,Total Hourly Cost,Hourly Cost/Seat,Cost/Mile,Cost/Seat Mile,Hourly Variable Cost,Variable Cost/Seat,Variable Cost/Mile,Variable Cost/Seat Mile
PHENOM 300E,EMBRAER,Business Jet,Yes,2018,2024,2018-2024,Yes,0,6,1,"45,000","3,643",16.70,52.20,51.30,"44,720",4.92,5.10,17.20,431.6,85,10.4,"1,865",464,8,"$11,000,000","$8,969,100",0.9,90,$0,"$1,256.34",0.0,0,$0,"$619,381","$1,130,706","$244,048","$1,750,087","$733,429","$16,698,044","$7,728,944","$2,252,748",3.43,"$5,476,196",35.99,116.25,4.50,89.53,170.93,11.19,143.59,196.67,17.95,180.85,35.60,22.61,116.13,14.52,"$3,889.08",$486.14,$8.38,$1.05,"$2,512.68",$314.09,$5.42,$0.68
LEGACY 600,EMBRAER,Business Jet,Yes,2006,2015,2006-2015,Yes,9,18,2,"41,000","5,473",22.20,65.70,86.50,"126,164",6.00,6.92,49.90,2071.8,286,6.1,"3,014",447,13,"$8,798,000","$7,173,649",0.9,93,$0,"$2,584.50",0.0,0,$0,"$871,343","$2,326,050","$521,140","$3,197,393","$1,262,483","$16,734,766","$9,561,117","$4,810,523",1.99,"$4,750,594",37.44,121.23,2.88,55.52,101.56,4.27,111.40,152.13,8.57,387.03,76.29,29.77,114.21,8.79,"$7,105.32",$546.56,$15.90,$1.22,"$5,169.00",$397.62,$11.56,$0.89
ATR 42-500,ATR,Turboprop,Yes,1994,2012,1994-2012,Yes,12,30,2,"25,000","4,192",24.92,80.70,74.50,"149,823",6.30,8.40,31.40,1661.7,400,9.0,"2,311",300,42,"$9,741,000","$7,942,545",1.3,139,$0,"$1,712.22",0.0,0,$0,"$605,996","$1,540,998","$514,427","$2,146,994","$1,037,723","$16,728,069","$8,785,524","$4,748,557",1.85,"$4,036,967",55.76,184.08,1.33,72.38,135.95,1.72,160.02,219.39,3.81,381.90,75.28,9.09,147.34,3.51,"$4,771.10",$113.60,$15.90,$0.38,"$3,424.44",$81.53,$11.41,$0.27
KING AIR 350iER,BEECH,Turboprop,Yes,2010,2019,2010-2019,Yes,5,14,1,"35,000","4,977",14.30,57.90,46.70,"38,666",4.90,4.60,19.60,441.8,71,8.8,"1,594",265,8,"$6,250,000","$5,096,079",1.5,157,$0,$997.84,0.0,0,$0,"$495,558","$898,056","$339,391","$1,393,614","$752,249","$11,165,166","$6,069,087","$3,132,841",1.94,"$2,936,246",42.13,137.33,5.27,70.04,131.18,8.76,134.26,183.76,16.78,168.17,33.10,21.02,108.43,13.55,"$3,096.92",$387.12,$11.69,$1.46,"$1,995.68",$249.46,$7.53,$0.94
6-300 TWIN OTTER,VIKING/DEHAVILLAND,Turboprop,Yes,1969,1989,1969-1989,No,35,55,1,"25,000","2,632",19.60,65.00,51.90,"66,121",4.92,5.30,18.60,485.0,146,13.6,527,175,10,"$3,000,000","$2,446,118",2.3,238,$0,$892.52,0.0,0,$0,"$485,058","$803,268","$459,690","$1,288,326","$862,048","$7,864,123","$5,418,005","$4,243,295",1.28,"$1,174,710",44.94,146.96,4.49,149.22,292.66,14.92,219.81,302.10,21.98,160.43,31.57,16.04,166.84,16.68,"$2,862.95",$286.29,$16.36,$1.64,"$1,785.04",$178.50,$10.20,$1.02
CITATION CJ4 GEN2,CESSNA,Business Jet,Yes,2021,2024,2021-2024,Yes,0,3,1,"45,000","3,412",15.30,50.80,53.30,"41,427",4.90,4.91,17.30,416.2,77,10.0,"1,625",425,9,"$11,647,000","$9,496,646",0.9,98,$0,"$1,171.84",0.0,0,$0,"$624,580","$1,054,656","$248,522","$1,679,236","$743,102","$17,512,864","$8,016,218","$2,294,049",3.49,"$5,722,169",41.21,134.16,4.58,107.77,208.12,11.97,171.14,234.78,19.02,193.15,38.03,21.46,136.40,15.16,"$3,731.64",$414.63,$8.78,$0.98,"$2,343.68",$260.41,$5.51,$0.61
6-400 TWIN OTTER,VIKING/DEHAVILLAND,Turboprop,Yes,2010,2024,2010-2024,Yes,0,14,1,"25,000","2,340",19.60,65.00,51.90,"66,121",4.91,5.30,18.60,484.0,123,13.7,605,161,19,"$4,500,000","$3,669,177",2.5,258,$0,$744.56,0.0,0,$0,"$490,058","$670,104","$416,830","$1,160,162","$824,188","$9,451,764","$5,782,587","$3,847,664",1.50,"$1,934,923",58.71,194.19,3.09,156.23,306.95,8.22,250.57,344.65,13.19,174.84,34.41,9.20,189.53,9.98,"$2,578.14",$135.69,$16.01,$0.84,"$1,489.12",$78.37,$9.25,$0.49
CHALLENGER 850,BOMBARDIER,Business Jet,Yes,2006,2012,2006-2012,Yes,12,18,2,"41,000","6,147",20.40,69.50,87.80,"124,483",6.10,8.20,48.50,2426.0,202,5.1,"2,395",442,15,"$9,500,000","$7,746,041",0.9,94,$0,"$2,314.32",0.0,0,$0,"$947,062","$2,082,888","$471,940","$3,029,950","$1,289,002","$17,698,968","$9,952,928","$4,356,367",2.28,"$5,596,561",40.04,130.16,2.67,73.90,139.04,4.93,134.60,184.24,8.97,370.69,73.07,24.71,128.65,8.58,"$6,733.22",$448.88,$15.23,$1.02,"$4,628.64",$308.58,$10.47,$0.70
FALCON 2000EX EASy,DASSAULT,Business Jet,Yes,2004,2009,2004-2009,Yes,15,20,2,"47,000","5,445",23.10,66.40,66.30,"101,694",6.20,7.80,31.00,1499.2,131,6.8,"3,781",459,10,"$9,767,000","$7,963,745",0.9,91,$0,"$2,408.02",0.0,0,$0,"$943,721","$2,167,218","$472,860","$3,110,939","$1,286,581","$18,003,161","$10,039,416","$4,364,864",2.30,"$5,674,552",39.22,127.35,3.92,47.61,85.44,4.76,106.39,145.21,10.64,377.79,74.47,37.78,109.84,10.98,"$6,913.20",$691.32,$15.06,$1.51,"$4,816.04",$481.60,$10.49,$1.05
FALCON 900EX,DASSAULT,Business Jet,Yes,1995,2003,1995-2003,Yes,21,29,2,"51,000","5,084",24.70,63.40,66.40,"103,981",6.20,7.80,33.20,1605.6,127,6.5,"4,388",459,12,"$9,733,000","$7,936,022",0.9,91,$0,"$2,491.94",0.0,0,$0,"$939,581","$2,242,746","$489,340","$3,182,327","$1,298,921","$18,024,580","$10,088,558","$4,516,981",2.23,"$5,571,577",39.27,127.51,3.27,41.08,72.10,3.42,99.81,136.10,8.32,391.43,77.16,32.62,106.63,8.89,"$7,071.84",$589.32,$15.41,$1.28,"$4,983.88",$415.32,$10.86,$0.90
CITATION X+,CESSNA,Business Jet,Yes,2014,2018,2014-2018,Yes,6,10,2,"51,000","5,187",19.20,63.90,72.30,"88,703",5.80,5.60,25.20,818.5,82,10.8,"3,148",527,8,"$10,725,000","$8,744,872",0.8,79,$0,"$2,591.78",0.0,0,$0,"$857,329","$2,332,602","$443,275","$3,189,931","$1,170,604","$18,558,146","$9,813,274","$4,091,767",2.40,"$5,721,508",35.21,113.60,4.40,58.95,108.56,7.37,111.08,151.70,13.88,365.08,71.96,45.63,111.83,13.98,"$7,088.74",$886.09,$13.45,$1.68,"$5,183.56",$647.95,$9.84,$1.23
G-V,GULFSTREAM,Business Jet,Yes,1995,2002,1995-2002,Yes,22,29,2,"51,000","6,045",25.80,93.40,96.50,"232,538",6.20,7.40,50.10,2298.6,226,10.1,"6,094",488,13,"$9,347,000","$7,621,289",0.8,85,$0,"$3,402.30",0.0,0,$0,"$1,016,673","$3,062,070","$628,403","$4,078,743","$1,515,076","$18,648,091","$11,026,803","$5,800,643",1.90,"$5,226,160",38.21,123.89,2.94,30.60,50.74,2.35,87.31,118.82,6.72,520.05,102.55,40.00,110.68,8.51,"$9,063.87",$697.22,$18.57,$1.43,"$6,804.60",$523.43,$13.94,$1.07
ATR 72-500,ATR,Turboprop,Yes,1997,2011,1997-2011,Yes,13,27,2,"25,000","4,252",25.10,88.90,89.20,"199,040",6.20,8.50,63.00,3320.1,486,6.0,"1,697",275,72,"$11,500,000","$9,376,786",1.5,151,$0,"$1,806.28",0.0,0,$0,"$637,996","$1,625,652","$592,022","$2,263,648","$1,147,318","$19,359,804","$9,983,018","$5,464,818",1.83,"$4,518,200",70.40,234.30,0.98,114.08,220.99,1.58,227.65,312.94,3.16,508.64,100.30,7.06,206.62,2.87,"$5,030.33",$69.87,$18.29,$0.25,"$3,612.56",$50.17,$13.14,$0.18
CHALLENGER 300,BOMBARDIER,Business Jet,Yes,2003,2014,2003-2014,Yes,10,21,2,"45,000","4,689",19.70,63.80,68.60,"86,221",6.10,7.20,28.70,1260.5,106,6.8,"2,994",458,8,"$11,540,000","$9,409,401",0.9,91,$0,"$2,287.60",0.0,0,$0,"$870,478","$2,058,840","$450,194","$2,929,318","$1,190,672","$19,623,959","$10,214,558","$4,155,640",2.46,"$6,058,918",42.85,139.78,5.36,65.54,122.00,8.19,130.89,179.10,16.36,392.07,77.29,49.01,128.20,16.02,"$6,509.59",$813.70,$14.21,$1.78,"$4,575.20",$571.90,$9.99,$1.25
CHALLENGER 605,BOMBARDIER,Business Jet,Yes,2007,2015,2007-2015,Yes,9,17,2,"41,000","5,694",20.60,64.30,68.50,"90,734",6.10,8.20,28.50,1425.6,115,6.4,"3,702",458,10,"$11,340,000","$9,246,326",0.9,91,$0,"$2,353.54",0.0,0,$0,"$946,773","$2,118,186","$463,171","$3,064,959","$1,279,944","$19,833,395","$10,587,068","$4,275,426",2.48,"$6,311,642",43.30,141.35,4.33,53.57,97.59,5.36,119.47,163.30,11.95,407.67,80.37,40.77,121.84,12.18,"$6,811.02",$681.10,$14.87,$1.49,"$4,707.08",$470.71,$10.28,$1.03
Q400,BOMBARDIER,Turboprop,Yes,1997,2024,1997-2024,Yes,0,27,2,"25,000","4,465",27.50,93.30,107.90,"276,844",6.40,8.20,61.80,3243.3,502,8.5,"1,667",350,19,"$12,500,000","$10,192,159",1.1,119,$0,"$2,125.46",0.0,0,$0,"$672,058","$1,912,914","$547,357","$2,584,972","$1,136,715","$20,491,414","$10,299,255","$5,052,522",2.04,"$5,246,733",58.55,193.64,3.08,122.92,239.02,6.47,216.33,297.29,11.39,497.76,98.15,26.20,197.72,10.41,"$5,744.38",$302.34,$16.41,$0.86,"$4,250.92",$223.73,$12.15,$0.64
GLOBAL EXPRESS,BOMBARDIER,Business Jet,Yes,1999,2005,1999-2005,Yes,19,25,2,"51,000","6,015",24.80,94.00,99.30,"231,488",6.30,8.20,48.40,2500.3,190,9.3,"5,792",488,13,"$10,225,000","$8,337,186",0.8,85,$0,"$3,896.68",0.0,0,$0,"$1,181,390","$3,507,012","$719,715","$4,688,402","$1,771,105","$20,968,338","$12,631,152","$6,643,520",1.90,"$5,987,632",42.97,140.20,3.31,36.20,62.16,2.78,101.18,138.00,7.78,669.73,132.09,51.52,135.05,10.39,"$10,418.67",$801.44,$21.35,$1.64,"$7,793.36",$599.49,$15.97,$1.23
CITATION SOVEREIGN+,CESSNA,Business Jet,Yes,2013,2021,2013-2021,Yes,3,11,2,"47,000","3,560",20.30,63.30,63.50,"81,597",5.80,5.60,25.30,821.7,135,9.9,"2,700",459,9,"$13,197,000","$10,760,473",0.9,91,$0,"$1,852.20",0.0,0,$0,"$861,091","$1,666,980","$363,715","$2,528,071","$1,094,806","$21,107,554","$10,347,081","$3,357,365",3.08,"$6,989,716",45.99,150.55,5.11,78.18,147.76,8.69,149.16,204.37,16.57,340.70,67.15,37.86,135.76,15.08,"$5,617.94",$624.22,$12.24,$1.36,"$3,704.40",$411.60,$8.07,$0.90
FALCON 2000EX,DASSAULT,Business Jet,Yes,2003,2004,2003-2004,Yes,20,21,2,"47,000","5,445",23.10,66.40,66.30,"101,694",6.20,7.80,31.00,1499.2,131,6.8,"3,781",482,10,"$12,750,000","$10,396,002",0.8,86,$0,"$2,408.02",0.0,0,$0,"$923,301","$2,167,218","$450,296","$3,090,519","$1,243,597","$21,321,985","$10,925,983","$4,156,582",2.63,"$6,769,401",44.24,144.55,4.42,56.39,103.34,5.64,123.94,169.49,12.39,426.09,84.00,42.61,126.75,12.67,"$6,867.82",$686.78,$14.25,$1.42,"$4,816.04",$481.60,$9.99,$1.00
CITATION LATITUDE,CESSNA,Business Jet,Yes,2015,2024,2015-2024,Yes,0,9,2,"45,000","4,030",21.00,72.40,63.60,"96,697",6.00,6.50,21.90,854.1,126,11.3,"2,500",451,9,"$14,125,000","$11,517,139",0.9,92,$0,"$2,019.44",0.0,0,$0,"$678,790","$1,817,496","$403,589","$2,496,286","$952,379","$21,494,758","$9,977,619","$3,725,441",2.68,"$6,252,177",47.66,156.30,5.30,85.98,163.68,9.55,159.99,219.35,17.78,384.99,75.89,42.78,147.62,16.40,"$5,547.30",$616.37,$12.30,$1.37,"$4,038.88",$448.76,$8.96,$1.00
LEGACY 450,EMBRAER,Business Jet,Yes,2015,2020,2015-2020,Yes,4,9,2,"45,000","3,800",22.10,66.40,64.60,"94,797",6.00,6.91,22.50,932.9,180,10.2,"2,450",458,7,"$13,500,000","$11,007,531",0.9,91,$0,"$1,935.82",0.0,0,$0,"$854,352","$1,742,238","$380,965","$2,596,590","$1,105,317","$21,519,053","$10,511,522","$3,516,599",2.99,"$6,994,923",46.98,153.98,6.71,87.83,167.46,12.55,160.72,220.36,22.96,363.82,71.71,51.97,146.04,20.86,"$5,770.20",$824.31,$12.60,$1.80,"$3,871.64",$553.09,$8.45,$1.21
CITATION XLS GEN 2,CESSNA,Business Jet,Yes,2022,2024,2022-2024,Yes,0,2,2,"45,000","3,812",17.20,55.70,51.90,"49,722",5.80,5.60,18.60,604.1,90,8.2,"1,490",440,8,"$14,950,000","$12,189,822",0.9,95,$0,"$1,544.90",0.0,0,$0,"$635,068","$1,390,410","$316,470","$2,025,478","$821,538","$21,817,870","$9,628,048","$2,921,265",3.30,"$6,706,783",49.59,162.90,6.20,146.43,286.96,18.30,224.93,309.19,28.12,306.42,60.38,38.30,184.79,23.10,"$4,501.06",$562.63,$10.23,$1.28,"$3,089.80",$386.23,$7.02,$0.88
FALCON 2000LX,DASSAULT,Business Jet,Yes,2007,2013,2007-2013,Yes,11,17,2,"47,000","5,703",23.10,66.40,66.30,"101,694",6.20,7.80,31.00,1499.2,131,6.8,"3,722",459,10,"$13,869,000","$11,308,404",0.9,91,$0,"$2,397.60",0.0,0,$0,"$958,175","$2,157,840","$470,814","$3,116,015","$1,298,989","$22,924,542","$11,616,138","$4,345,976",2.67,"$7,270,161",49.94,164.13,4.99,61.59,113.94,6.16,139.04,190.37,13.90,478.99,94.44,47.90,142.41,14.24,"$6,924.48",$692.45,$15.09,$1.51,"$4,795.20",$479.52,$10.45,$1.04
FALCON 900DX,DASSAULT,Business Jet,Yes,2005,2011,2005-2011,Yes,13,19,2,"51,000","4,767",24.70,63.40,66.40,"103,981",6.20,7.80,33.20,1605.6,127,6.5,"3,998",459,12,"$14,000,000","$11,415,218",0.9,91,$0,"$2,480.44",0.0,0,$0,"$934,581","$2,232,396","$487,081","$3,166,977","$1,291,662","$23,043,094","$11,627,876","$4,496,135",2.59,"$7,131,741",50.20,165.02,4.18,57.64,105.87,4.80,135.45,185.40,11.29,498.10,98.22,41.51,141.81,11.82,"$7,037.73",$586.48,$15.33,$1.28,"$4,960.88",$413.41,$10.81,$0.90
G280,GULFSTREAM,Business Jet,Yes,2012,2024,2012-2024,Yes,0,12,2,"45,000","4,631",24.30,63.00,66.80,"102,264",6.30,7.20,25.91,1175.3,154,8.7,"3,302",470,8,"$14,462,000","$11,791,920",0.9,89,$0,"$2,336.62",0.0,0,$0,"$869,501","$2,102,958","$448,101","$2,972,459","$1,187,602","$23,070,089","$11,278,169","$4,136,315",2.73,"$7,141,854",49.09,161.18,6.14,69.87,130.82,8.73,146.00,200.00,18.25,458.77,90.45,57.35,145.23,18.15,"$6,605.46",$825.68,$14.05,$1.76,"$4,673.24",$584.16,$9.94,$1.24
LEGACY 500,EMBRAER,Business Jet,Yes,2014,2020,2014-2020,Yes,4,10,2,"45,000","4,200",22.10,66.40,67.30,"98,759",6.00,6.91,26.91,1115.7,150,8.9,"2,950",451,8,"$15,495,000","$12,634,200",0.9,92,$0,"$1,963.64",0.0,0,$0,"$857,579","$1,767,276","$392,438","$2,624,855","$1,120,017","$23,955,884","$11,321,684","$3,622,502",3.13,"$7,699,182",53.12,175.01,6.64,81.21,153.94,10.15,164.48,225.56,20.56,417.21,82.25,52.15,153.91,19.24,"$5,833.01",$729.13,$12.93,$1.62,"$3,927.28",$490.91,$8.71,$1.09
GLOBAL EXPRESS XRS,BOMBARDIER,Business Jet,Yes,2005,2012,2005-2012,Yes,12,19,2,"51,000","6,015",24.80,94.00,99.30,"231,488",6.30,8.20,48.40,2500.3,195,9.3,"5,904",488,13,"$12,723,000","$10,373,987",0.8,85,$0,"$3,888.74",0.0,0,$0,"$1,209,479","$3,499,866","$718,248","$4,709,345","$1,797,727","$24,060,649","$13,686,662","$6,629,983",2.06,"$7,056,679",49.30,161.94,3.79,40.75,71.44,3.13,116.69,159.46,8.98,766.93,151.28,58.99,155.37,11.95,"$10,465.21",$805.02,$21.45,$1.65,"$7,777.48",$598.27,$15.94,$1.23
LEGACY 650,EMBRAER,Business Jet,Yes,2012,2019,2012-2019,Yes,5,12,2,"41,000","5,597",22.20,65.70,86.50,"126,164",6.00,6.92,49.90,2071.8,286,6.1,"3,569",447,13,"$15,200,000","$12,393,665",0.9,93,$0,"$2,728.24",0.0,0,$0,"$881,343","$2,455,416","$550,124","$3,336,759","$1,301,467","$24,513,669","$12,120,004","$5,078,066",2.39,"$7,041,938",54.84,180.93,4.22,68.68,128.41,5.28,154.67,211.99,11.90,598.47,118.03,46.04,165.01,12.69,"$7,415.02",$570.39,$16.59,$1.28,"$5,456.48",$419.73,$12.21,$0.94
FALCON 900EX EASy,DASSAULT,Business Jet,Yes,2003,2010,2003-2010,Yes,14,21,2,"51,000","5,084",24.70,63.40,66.40,"103,981",6.20,7.80,33.20,1605.6,127,6.5,"4,388",459,12,"$15,295,000","$12,471,125",0.9,91,$0,"$2,451.64",0.0,0,$0,"$961,866","$2,206,476","$481,426","$3,168,342","$1,313,292","$24,685,334","$12,214,209","$4,443,931",2.75,"$7,770,277",53.78,177.29,4.48,56.26,103.06,4.69,140.18,191.94,11.68,527.40,104.00,43.95,147.97,12.33,"$7,040.76",$586.73,$15.34,$1.28,"$4,903.28",$408.61,$10.68,$0.89
G450,GULFSTREAM,Business Jet,Yes,2005,2017,2005-2017,Yes,7,19,2,"45,000","5,625",25.20,77.80,89.30,"175,078",6.20,7.40,45.10,2069.2,169,8.5,"3,998",476,14,"$14,973,000","$12,208,575",0.8,87,$0,"$3,116.54",0.0,0,$0,"$1,037,714","$2,804,886","$590,135","$3,842,600","$1,497,849","$25,226,668","$13,018,093","$5,447,398",2.39,"$7,570,695",53.00,174.60,3.79,63.10,117.01,4.51,145.81,199.74,10.41,660.67,130.30,47.19,165.02,11.79,"$8,539.11",$609.94,$17.94,$1.28,"$6,233.08",$445.22,$13.09,$0.94
PRAETOR 500,EMBRAER,Business Jet,Yes,2016,2024,2016-2024,Yes,0,8,2,"45,000","4,261",21.10,70.60,64.70,"96,381",6.00,6.90,24.00,993.6,144.79,9.7,"3,250",474,7,"$17,995,000","$14,672,632",0.8,88,$0,"$1,804.60",0.0,0,$0,"$681,037","$1,624,140","$343,153","$2,305,177","$894,190","$25,788,319","$11,115,688","$3,167,568",3.51,"$7,948,120",54.41,179.43,7.77,79.35,150.16,11.34,164.79,226.00,23.54,392.72,77.42,56.10,151.71,21.67,"$5,122.62",$731.80,$10.81,$1.54,"$3,609.20",$515.60,$7.61,$1.09
CHALLENGER 350,BOMBARDIER,Business Jet,Yes,2014,2022,2014-2022,Yes,2,10,2,"45,000","4,731",19.70,63.80,68.60,"86,221",6.10,7.20,28.70,1260.5,106,6.8,"3,120",459,8,"$17,199,000","$14,023,595",0.9,91,$0,"$2,204.40",0.0,0,$0,"$882,193","$1,983,960","$432,876","$2,866,153","$1,185,069","$26,299,748","$12,276,153","$3,995,775",3.07,"$8,280,378",57.30,189.36,7.16,84.29,160.24,10.54,174.80,239.84,21.85,505.23,99.62,63.15,169.73,21.22,"$6,369.23",$796.15,$13.88,$1.73,"$4,408.80",$551.10,$9.61,$1.20
ATR 72-600,ATR,Turboprop,Yes,2011,2024,2011-2024,Yes,0,13,2,"25,000","4,701",25.10,88.90,89.20,"199,040",6.20,8.50,63.00,3320.1,486,6.0,"1,697",275,72,"$17,850,000","$14,554,403",1.5,151,$0,"$1,727.64",0.0,0,$0,"$636,338","$1,554,876","$566,247","$2,191,214","$1,119,885","$26,745,023","$12,190,620","$5,226,896",2.33,"$6,963,724",97.25,326.42,1.35,157.60,309.75,2.19,318.09,438.05,4.42,672.08,132.56,9.33,285.30,3.96,"$4,869.36",$67.63,$17.71,$0.25,"$3,455.28",$47.99,$12.56,$0.17
FALCON 2000S,DASSAULT,Business Jet,Yes,2013,2019,2013-2019,Yes,5,11,2,"47,000","4,600",23.10,66.40,66.30,"101,694",6.20,7.80,26.40,1276.7,131,8.0,"3,350",459,10,"$18,625,000","$15,186,316",0.9,91,$0,"$2,426.90",0.0,0,$0,"$958,846","$2,184,210","$476,568","$3,143,056","$1,305,414","$28,590,752","$13,404,436","$4,399,087",3.05,"$9,005,349",62.29,206.48,6.23,85.35,162.39,8.53,184.43,253.16,18.44,604.68,119.25,60.47,186.21,18.62,"$6,984.57",$698.46,$15.22,$1.52,"$4,853.80",$485.38,$10.57,$1.06
G550,GULFSTREAM,Business Jet,Yes,2003,2020,2003-2020,Yes,4,21,2,"51,000","6,045",25.80,93.60,96.50,"233,036",6.20,7.40,50.10,2298.6,226,10.1,"6,328",488,18,"$18,830,000","$15,353,468",0.8,85,$0,"$3,227.38",0.0,0,$0,"$1,207,985","$2,904,642","$596,095","$4,112,627","$1,674,080","$30,676,934","$15,323,466","$5,502,418",2.78,"$9,821,047",62.86,208.44,3.49,48.48,87.20,2.69,147.82,202.52,8.21,811.53,160.08,45.08,181.30,10.07,"$9,139.17",$507.73,$18.73,$1.04,"$6,454.76",$358.60,$13.23,$0.73
GLOBAL 5000,BOMBARDIER,Business Jet,Yes,2005,2022,2005-2022,Yes,2,19,2,"51,000","5,401",24.80,94.00,96.80,"225,660",6.30,8.20,42.60,2200.7,195,10.3,"5,070",488,13,"$18,625,000","$15,186,316",0.8,85,$0,"$3,812.24",0.0,0,$0,"$1,203,236","$3,431,016","$704,119","$4,634,252","$1,777,355","$30,950,457","$15,764,140","$6,499,557",2.43,"$9,264,584",63.42,210.37,4.88,61.05,112.83,4.70,161.60,221.58,12.43,967.14,190.79,74.40,206.18,15.86,"$10,298.34",$792.18,$21.10,$1.62,"$7,624.48",$586.50,$15.62,$1.20
CHALLENGER 650,BOMBARDIER,Business Jet,Yes,2015,2024,2015-2024,Yes,0,9,2,"41,000","5,520",20.60,64.30,68.50,"90,734",6.00,8.20,28.40,1397.3,115,6.5,"3,665",459,10,"$22,000,000","$17,938,199",0.9,91,$0,"$2,283.66",0.0,0,$0,"$964,129","$2,055,294","$448,440","$3,019,423","$1,282,569","$32,474,645","$14,536,446","$4,139,445",3.51,"$10,397,001",70.75,235.50,7.08,88.61,169.04,8.86,202.27,277.84,20.23,646.28,127.46,64.63,202.65,20.27,"$6,709.83",$670.98,$14.62,$1.46,"$4,567.32",$456.73,$9.95,$1.00
PRAETOR 600,EMBRAER,Business Jet,Yes,2019,2024,2019-2024,Yes,0,5,2,"45,000","4,800",21.00,70.60,68.10,"100,965",6.00,6.90,27.70,1146.8,155,8.8,"3,900",474,8,"$22,900,000","$18,672,035",0.8,88,$0,"$1,956.22",0.0,0,$0,"$867,347","$1,760,598","$371,984","$2,627,945","$1,109,331","$32,674,622","$14,002,588","$3,433,703",4.08,"$10,568,885",68.93,229.27,8.62,83.78,159.19,10.47,194.23,266.72,24.28,539.40,106.37,67.42,186.54,23.32,"$5,839.88",$729.98,$12.32,$1.54,"$3,912.44",$489.06,$8.25,$1.03
CHALLENGER 3500,BOMBARDIER,Business Jet,Yes,2022,2024,2022-2024,Yes,0,2,2,"45,000","4,731",19.70,63.80,68.60,"86,221",6.10,7.20,28.70,1260.5,106,6.8,"3,120",459,8,"$23,000,000","$18,753,572",0.9,91,$0,"$2,439.90",0.0,0,$0,"$885,193","$2,195,910","$479,121","$3,081,103","$1,234,314","$33,417,996","$14,664,424","$4,422,651",3.32,"$10,241,773",72.81,242.55,9.10,107.11,206.77,13.39,224.66,308.82,28.08,710.56,140.15,88.82,224.48,28.06,"$6,846.90",$855.86,$14.92,$1.86,"$4,879.80",$609.98,$10.63,$1.33
FALCON 2000LXS,DASSAULT,Business Jet,Yes,2013,2024,2013-2024,Yes,0,11,2,"47,000","4,950",23.10,66.40,66.30,"101,694",6.20,7.80,31.00,1499.2,131,6.8,"3,721",458,10,"$22,868,000","$18,645,943",0.9,91,$0,"$2,397.60",0.0,0,$0,"$958,846","$2,157,840","$471,842","$3,116,686","$1,300,688","$33,593,498","$14,947,555","$4,355,466",3.43,"$10,592,089",73.35,244.41,7.33,90.28,172.45,9.03,208.43,286.37,20.84,703.44,138.74,70.34,212.55,21.26,"$6,925.97",$692.60,$15.12,$1.51,"$4,795.20",$479.52,$10.47,$1.05
LINEAGE 1000,EMBRAER,Business Jet,Yes,2009,2013,2009-2013,Yes,11,15,2,"41,000","5,924",34.70,94.20,118.90,"388,653",6.70,8.90,84.40,5032.8,443,7.7,"4,093",459,19,"$21,000,000","$17,122,827",0.9,91,$0,"$4,237.08",0.0,0,$0,"$1,174,971","$3,813,372","$832,031","$4,988,343","$1,877,002","$34,262,182","$17,139,356","$7,680,284",2.23,"$9,459,071",74.65,248.86,3.93,83.71,159.05,4.41,203.96,280.17,10.73,"1,265.11",249.60,66.58,264.89,13.94,"$11,085.21",$583.43,$24.15,$1.27,"$8,474.16",$446.01,$18.46,$0.97
CITATION LONGITUDE,CESSNA,Business Jet,Yes,2019,2024,2019-2024,Yes,0,5,2,"45,000","4,900",26.00,86.00,87.00,"194,532",6.00,6.40,25.20,967.7,112,20.1,"3,200",477,9,"$25,000,000","$20,384,317",0.8,87,$0,"$2,092.82",0.0,0,$0,"$887,077","$1,883,538","$395,457","$2,770,615","$1,152,534","$35,378,351","$14,994,034","$3,650,369",4.11,"$11,343,664",74.17,247.23,8.24,110.56,213.80,12.28,230.52,316.91,25.61,620.88,122.45,68.99,219.68,24.41,"$6,156.92",$684.10,$12.91,$1.43,"$4,185.64",$465.07,$8.77,$0.97
