316,Manufacturer,Type,Multi Engine,Lowest Year,Highest Year,Date Range,Year Model Filter,Lowest Age,Highest Age,Min Crew Required,Max Operating Altitude (ft),Balanced Field Length (ft),Aircraft Height (ft),Wingspan (ft),Aircraft Length (ft),Aircraft Volume (cubic ft),Cabin Height (ft),Cabin Width (ft),Cabin Length (ft),Cabin Volume (cubic ft),Baggage Volume (cubic ft),Cabin/Aircraft Volume,Range(NM),Speed(KTS),Passengers,Average Price,Depreciation Rate,Average Trip Time,# of Hours,Passenger Pay,Hourly Charter Rate,Average Charter Trip Time,# of Charter Hours,Yearly Charter Profit,Total Fixed Cost,Total Variable Cost,Adjusted Variable Cost,Annual Budget,Adjusted Annual Budget,Multi-Year Total Cost,MYTC w/ Aircraft Sale,Cost To Charter,Own/Charter Ratio,Own/Charter Savings,Best Speed/$,Normalized Speed/$,Best Seat Speed/$,Best Range/$,Normalized Range/$,Best Seat Range/$,Best Performance/$,Normalized Performance/$,Best Seat Performance/$,Best Efficiency/$,Normalized Effieciency/$,Best Seat Efficiency/$,Best All Around/$,Best Seat All Around/$,Total Hourly Cost,Hourly Cost/Seat,Cost/Mile,Cost/Seat Mile,Hourly Variable Cost,Variable Cost/Seat,Variable Cost/Mile,Variable Cost/Seat Mile
KING AIR 350i,BEECH,Turboprop,Yes,2009,2024,2009-2024,Yes,0,15,1,"35,000","3,217",14.30,57.90,46.70,"38,666",4.90,4.60,19.20,432.8,72,8.9,"1,404",310,8,"$6,137,000","$5,003,942",1.3,134,$0,$991.38,0.0,0,$0,"$491,058","$892,242","$288,246","$1,383,300","$696,604","$10,753,080","$5,749,138","$2,660,736",2.16,"$3,088,402",34.69,111.79,4.34,76.59,144.53,9.57,128.16,175.32,16.02,137.55,27.05,17.19,101.19,12.65,"$3,074.00",$384.25,$9.92,$1.24,"$1,982.76",$247.85,$6.40,$0.80
CITATION CJ4,CESSNA,Business Jet,Yes,2010,2020,2010-2020,Yes,4,14,1,"45,000","3,412",15.30,50.80,53.30,"41,427",4.90,4.91,17.30,416.2,77,10.0,"1,625",425,9,"$6,532,000","$5,326,014",0.9,98,$0,"$1,171.84",0.0,0,$0,"$624,580","$1,054,656","$248,522","$1,679,236","$743,102","$11,453,495","$6,127,481","$2,294,049",2.67,"$3,833,432",26.95,85.25,2.99,70.48,132.07,7.83,108.66,148.35,12.07,126.32,24.84,14.04,86.59,9.62,"$3,731.64",$414.63,$8.78,$0.98,"$2,343.68",$260.41,$5.51,$0.61
G-IV,GULFSTREAM,Business Jet,Yes,1986,1992,1986-1992,No,32,38,2,"45,000","5,557",25.20,77.80,89.30,"175,078",6.10,7.40,45.10,2035.8,169,8.6,"3,705",476,13,"$3,850,000","$3,139,185",0.8,87,$0,"$3,252.10",0.0,0,$0,"$948,563","$2,926,890","$615,804","$3,875,453","$1,434,367","$11,732,649","$8,593,464","$5,684,343",1.51,"$2,909,121",24.65,77.36,1.90,31.67,52.91,2.44,65.13,88.14,5.01,320.64,63.19,24.66,75.66,5.82,"$8,612.12",$662.47,$18.09,$1.39,"$6,504.20",$500.32,$13.66,$1.05
FALCON 50EX,DASSAULT,Business Jet,Yes,1997,2007,1997-2007,Yes,17,27,2,"49,000","4,875",22.90,61.80,60.70,"85,904",5.92,6.10,23.60,852.2,115,10.1,"3,142",459,9,"$5,200,000","$4,239,938",0.9,91,$0,"$2,508.86",0.0,0,$0,"$835,432","$2,257,974","$492,662","$3,093,406","$1,198,094","$12,150,533","$7,910,595","$4,547,650",1.74,"$3,362,944",26.47,83.61,2.94,38.67,67.20,4.30,75.40,102.34,8.38,265.66,52.34,29.52,77.34,8.59,"$6,874.24",$763.80,$14.98,$1.66,"$5,017.72",$557.52,$10.93,$1.21
G300,GULFSTREAM,Business Jet,Yes,2003,2004,2003-2004,Yes,20,21,2,"45,000","4,582",24.30,77.80,88.30,"166,935",6.20,7.40,45.10,2069.2,169,8.1,"3,399",476,13,"$4,000,000","$3,261,491",0.8,87,$0,"$3,206.60",0.0,0,$0,"$1,013,679","$2,885,940","$607,188","$3,899,619","$1,490,867","$12,192,845","$8,931,354","$5,604,813",1.59,"$3,326,541",25.62,80.67,1.97,35.87,61.49,2.76,71.08,96.36,5.47,328.55,64.75,25.27,80.56,6.20,"$8,665.82",$666.60,$18.21,$1.40,"$6,413.20",$493.32,$13.47,$1.04
3 TURBINE OTTER,VIKING/DEHAVILLAND,Turboprop,No,1952,2024,1952-2024,Yes,0,72,1,"18,000","1,004",12.70,58.00,41.10,"30,274",4.92,5.20,16.50,422.1,140,7.2,729,125,10,"$1,500,000","$1,223,059",3.2,333,$0,$638.84,0.0,0,$0,"$222,188","$574,956","$460,646","$797,144","$600,134","$4,777,612","$3,554,553","$4,252,119",0.84,"-$697,566",38.22,123.91,3.82,65.54,121.99,6.55,122.95,168.12,12.30,97.67,19.18,9.77,93.65,9.36,"$1,771.43",$177.14,$14.17,$1.42,"$1,277.68",$127.77,$10.22,$1.02
FALCON 900B,DASSAULT,Business Jet,Yes,1987,1999,1987-1999,Yes,25,37,2,"51,000","5,015",24.70,63.40,66.40,"103,981",6.20,7.80,33.20,1605.6,127,6.5,"3,364",466,12,"$5,010,000","$4,085,017",0.9,89,$0,"$2,532.68",0.0,0,$0,"$931,269","$2,279,412","$489,869","$3,210,681","$1,291,138","$12,390,672","$8,305,655","$4,521,866",1.84,"$3,783,788",26.59,84.01,2.22,36.83,63.45,3.07,73.73,100.03,6.14,269.37,53.07,22.45,76.55,6.38,"$7,134.85",$594.57,$15.31,$1.28,"$5,065.36",$422.11,$10.87,$0.91
LEARJET 75,BOMBARDIER,Business Jet,Yes,2013,2022,2013-2022,Yes,2,11,2,"51,000","4,329",14.10,47.80,57.60,"38,821",4.92,5.10,19.90,499.3,65,7.8,"1,760",456,8,"$7,259,000","$5,918,790",0.9,91,$0,"$1,742.22",0.0,0,$0,"$546,044","$1,567,998","$344,369","$2,114,042","$760,413","$12,401,273","$6,482,482","$3,178,787",2.04,"$3,303,695",27.20,86.09,3.40,70.46,132.03,8.81,109.06,148.91,13.63,189.52,37.31,23.69,93.11,11.64,"$4,697.87",$587.23,$10.30,$1.29,"$3,484.44",$435.56,$7.64,$0.96
KING AIR 360,BEECH,Turboprop,Yes,2020,2024,2020-2024,Yes,0,4,1,"35,000","3,217",14.30,57.90,46.70,"38,666",4.91,4.60,19.20,433.7,70,8.9,"1,404",310,8,"$7,398,000","$6,032,127",1.3,134,$0,$967.38,0.0,0,$0,"$499,746","$870,642","$281,268","$1,370,388","$698,314","$12,255,444","$6,223,317","$2,596,323",2.40,"$3,626,994",39.53,128.42,4.94,87.29,166.35,10.91,147.38,201.92,18.42,152.98,30.10,19.12,116.01,14.50,"$3,045.31",$380.66,$9.82,$1.23,"$1,934.76",$241.85,$6.24,$0.78
PHENOM 300,EMBRAER,Business Jet,Yes,2009,2022,2009-2022,Yes,2,15,1,"45,000","3,059",16.70,52.20,51.30,"44,720",4.92,5.10,17.00,426.6,85,10.5,"1,676",430,8,"$7,346,000","$5,989,728",0.9,97,$0,"$1,212.62",0.0,0,$0,"$633,527","$1,091,358","$254,180","$1,724,885","$757,707","$12,490,808","$6,501,080","$2,346,279",2.77,"$4,154,802",29.05,92.45,3.63,74.53,140.32,9.32,116.39,159.04,14.55,140.90,27.71,17.61,93.37,11.67,"$3,833.08",$479.13,$8.91,$1.11,"$2,425.24",$303.16,$5.64,$0.71
FALCON 2000,DASSAULT,Business Jet,Yes,1995,2007,1995-2007,Yes,17,29,2,"47,000","5,304",23.10,66.40,66.30,"101,694",6.20,7.80,31.00,1499.2,134,6.8,"2,770",459,10,"$4,849,000","$3,953,742",0.9,91,$0,"$2,925.96",0.0,0,$0,"$939,420","$2,633,364","$574,568","$3,572,784","$1,383,988","$12,664,196","$8,710,454","$5,303,701",1.64,"$3,406,753",27.59,87.45,2.76,45.72,81.57,4.57,84.51,114.94,8.45,322.92,63.64,32.29,89.29,8.93,"$7,939.52",$793.95,$17.30,$1.73,"$5,851.92",$585.19,$12.75,$1.27
ERJ-145ER,EMBRAER,Business Jet,Yes,1995,2005,1995-2005,Yes,19,29,2,"37,000","6,288",22.20,65.90,98.00,"143,372",6.00,6.92,54.10,2246.2,325,6.4,"1,180",430,50,"$3,900,000","$3,179,954",0.9,97,$0,"$2,704.78",0.0,0,$0,"$1,193,770","$2,434,302","$566,955","$3,628,072","$1,630,725","$12,773,674","$9,593,720","$5,233,435",1.83,"$4,360,285",29.71,94.71,0.59,108.25,209.10,2.17,151.90,208.17,3.04,321.40,63.34,6.43,135.75,2.72,"$8,062.38",$161.25,$18.75,$0.37,"$5,409.56",$108.19,$12.58,$0.25
CHALLENGER 604,BOMBARDIER,Business Jet,Yes,1996,2007,1996-2007,Yes,17,28,2,"41,000","5,620",20.60,64.30,68.50,"90,734",6.10,8.20,28.50,1425.6,115,6.4,"3,664",459,10,"$5,754,000","$4,691,655",0.9,91,$0,"$2,381.54",0.0,0,$0,"$941,113","$2,143,386","$467,660","$3,084,499","$1,278,773","$13,210,212","$8,518,557","$4,316,866",1.97,"$4,201,692",28.78,91.53,2.88,36.05,61.86,3.61,76.69,104.13,7.67,274.17,54.02,27.42,79.07,7.91,"$6,854.44",$685.44,$14.93,$1.49,"$4,763.08",$476.31,$10.38,$1.04
KING AIR 260,BEECH,Turboprop,Yes,2021,2024,2021-2024,Yes,0,3,1,"35,000","3,826",14.80,57.80,43.90,"37,554",4.90,4.60,16.80,378.7,55,9.9,620,302,7,"$7,495,000","$6,111,218",1.3,138,$0,"$1,006.12",0.0,0,$0,"$477,746","$905,508","$300,281","$1,383,254","$695,327","$12,355,418","$6,244,200","$2,771,827",2.25,"$3,472,372",40.91,133.15,5.84,199.28,394.75,28.47,263.95,363.16,37.71,164.65,32.40,23.52,197.78,28.25,"$3,073.90",$439.13,$10.18,$1.45,"$2,012.24",$287.46,$6.66,$0.95
